"","Name","Location","Started on","Notes","Region","URL","Latnum  in miles","Longnum"
"165","Albert Parkrun","Middlesbrough, North East","31 May 2008","In Grade II listed Albert Park, opened in 1868 and named after Prince Albert","North East England","/wiki/Middlesbrough","54.5766666666667","-1.23555555555556"
"166","Blackhill Parkrun","Consett, County Durham","13 Jul 2013","Located at Blackhill and Consett Heritage Park","North East England","/wiki/Consett","54.85","-1.83333333333333"
"167","Blyth Links Parkrun","Blyth, Northumberland","20 April 2019","A two and a half lap course on Blyth seafront on tarmac and concrete paths","North East England","/wiki/Blyth","",""
"168","Darlington South Park Parkrun","Darlington, County Durham","15 Dec 2012","At South Park comprising three laps starting at the bowling greens","North East England","/wiki/Darlington","54.5269444444444","-1.5525"
"169","Druridge Bay Parkrun","Morpeth, Northumberland","9 Aug 2014","Two laps of Ladyburn Lake in Druridge Bay country park","North East England","/wiki/Morpeth,_Northumberland","55.1630555555556","-1.67805555555556"
"170","Durham	Parkrun","Durham, County Durham","13 Aug 2011","Starts near the athletics track at Graham Sports Centre","North East England","/wiki/Durham,_England","54.7761111111111","-1.57333333333333"
"171","Flatts Lane Parkrun","Normanby, North East","16 Sep 2017","In Flatts Lane Country Park","North East England","/wiki/Normanby,_Redcar_and_Cleveland","54.5569444444444","-1.15694444444444"
"172","Gateshead Parkrun","Gateshead, Tyne and Wear","18 Feb 2012","In Saltwell Park, opened in 1876 and with eleven listed buildings[77]","North East England","/wiki/Gateshead","54.95","-1.6"
"173","Gibside Parkrun","Gateshead, Tyne and Wear","22 Feb 2014","At the National Trust's Gibside","North East England","/wiki/Gateshead","54.95","-1.6"
"174","Hackworth Parkrun","Shildon, County Durham","9 Mar 2013","At Hackworth Park","North East England","/wiki/Shildon","54.6333333333333","-1.65"
"175","Hartlepool Parkrun","Hartlepool, County Durham","26 Apr 2014","An out and back along the promenade","North East England","/wiki/Hartlepool","54.6833333333333","-1.21666666666667"
"176","Newbiggin-by-the-Sea Parkrun","Newbiggin, Northumberland","14 Oct 2017","Two laps of the bay along the promenade","North East England","/wiki/Newbiggin-by-the-Sea","55.1830555555556","-1.515"
